MES	ID	SCORE_SISTEMA	CTDMESPASIVOULT12MES	INGRESO	CLASIFRIESGO_6	ESTADOCIVIL	TIPO	DEPARTAMENTO	NUMEROHIJOS	INCUMPLIMIENTOEN12	DELTA_BANCOS
201510	24474153	407.12918795	12	3823.25	0	CAS	1	14	1	0	3
201510	24475497	312.41225322	12	4864.99	0	CAS	1	30	0	0	3
201510	24475706	242.91810931	12	3507.41	0	CAS	1	38	1	0	3
201510	24475923	401.8959845	12	3742.64	0	CBS	1	30	0	0	3
201510	24476025	421.15701228	12	3762.09	0	SOL	1	30	-	0	3
201510	24476050	357.67157729	12	3639.21	0	SOL	1	30	-	0	3
201510	24476668	315.11918664	12	4174.76	2	SOL	1	30	0	0	3
201510	24476749	366.37307205	12	4077.58	0	CAS	1	30	1	0	3
201510	24476765	388.5007477	12	3177.87	0	SOL	1	04	2	0	3
201510	24476784	451.19405255	12	3507.02	0	CAS	1	30	0	0	3
201510	24476991	231.42937652	11	3974.02	0	SOL	1	30	0	0	3
201510	24477445	424.96886025	12	3279.83	0	CAS	1	22	0	0	3
201510	24478431	373.79750719	12	3373.49	0	CAS	1	06	0	0	3
201510	24478485	404.64055013	12	3200.01	0	SOL	1	30	0	0	3
201510	24479196	363.42788883	12	4749.16	0	SOL	1	30	0	1	3
201510	24479264	348.87795546	5	4950.33	0	SOL	1	28	0	0	3
201510	24479473		12	3235.66	0	SOL	1	30	-	0	3
201510	24479540	335.64392478	12	3800.01	0	SOL	1	08	0	0	3
201510	24480011	337.74403433	12	4234.77	0	SOL	1	30	0	0	3
201510	24480073	264.68886303	7	3241.69	0	SOL	1	30	-	1	3
201510	24480253	320.16899574	12	3949.88	0	CAS	1	30	0	0	3
201510	24480345		12	3594.28	0	SOL	1	30	3	0	3
201510	24480538	395.33785311	12	4200	0	SOL	1	30	0	0	3
201510	24480794	315.10989217	12	4187.41	0	CAS	1	26	-	0	3
201510	24480998	365.493302	12	4782.72	0	CAS	1	40	2	0	3
201510	24481124	382.78950356	12	3276.56	0	CAS	1	30	0	0	3
201510	24482628	408.229672	12	4011.92	0	CAS	1	22	2	0	3
201510	24482631	434.37882064	12	4079.18	0	SEP	1	30	0	0	3
201510	24483016	365.73550333	12	3494.12	0	SOL	1	10	0	0	3
201510	24483056	284.21276257	12	4607.73	0	SOL	1	40	0	1	3
201510	24483059	321.0030228	12	4411.26	0	SOL	1	08	0	0	3
201510	24483152	397.68941394	12	3894.1	0	SOL	1	24	0	0	3
201510	24483186	397.75979866	12	3400.01	0	SOL	1	08	-	0	3
201510	24483207	364.48980503	12	4252.16	0	SOL	1	22	0	0	3
201510	24483496	447.25121318	12	3003.71	0	SOL	1	16	0	0	3
201510	24483848		12	3997.36	0	CAS	1	30	1	0	3
201510	24483914	459.07406206	12	3550.97	0	SOL	1	38	3	0	3
