MES,ID,SCORE_SISTEMA,CTDMESPASIVOULT12MES,INGRESO,CLASIFRIESGO_6,ESTADOCIVIL,TIPO,DEPARTAMENTO,NUMEROHIJOS,INCUMPLIMIENTOEN12,DELTA_BANCOS
201510,354,324.5988348,12,3885.72,0,SOL,1,30,0,0,3
201510,355,381.7678753,12,3982.94,0,SOL,1,22,0,0,3
201510,356,380.4676038,12,4174.76,0,CAS,1,4,0,0,3
201510,357,325.3440873,12,3836.74,0,CAS,1,30,1,0,3
201510,358,391.0233294,12,4862.67,0,SOL,1,30,-,0,3
201510,359,306.7961102,12,3047.62,1,SOL,1,30,0,0,3
201510,360,290.5780019,12,3343.01,0,CAS,1,12,4,0,3
201510,361,264.0986363,12,3704.5,0,SOL,1,30,-,0,3
201510,362,310.1043492,12,4804.27,0,SOL,1,24,1,0,3
201510,363,352.8303536,12,3874.14,0,SOL,1,28,0,0,3
201510,364,313.2199837,12,3455.38,0,SOL,1,30,0,0,3
201510,365,,12,4816.78,0,SOL,1,16,2,1,3
201510,366,240.8501633,12,3533.67,0,SOL,1,30,0,0,3
201510,367,383.5276832,12,3371.25,0,SOL,1,4,0,0,3
201510,368,262.3645378,12,3999.99,0,SOL,1,30,0,0,3
201510,369,437.0001784,12,4498.19,0,SOL,1,46,0,0,3
201510,370,430.2779737,12,3756.02,0,SOL,1,36,2,0,3
201510,371,305.1560282,12,4151.92,1,SOL,1,24,2,0,3
201510,372,383.9444994,12,4655.08,0,SOL,1,16,2,0,3
201510,373,298.7934711,12,4968.27,0,CAS,1,26,2,0,3
201510,374,342.0223628,12,3883.65,0,SOL,1,40,3,0,3
201510,375,389.9057944,12,4197.87,0,CAS,1,26,1,0,3
201510,376,403.3771888,12,4038.69,0,SOL,1,30,1,0,3
201510,377,312.9189451,12,4235.81,1,CAS,1,30,1,0,3
201510,378,338.3774267,12,4492.13,0,CAS,1,24,1,0,3
201510,379,245.6163175,12,4913.3,0,CAS,1,30,2,0,3
201510,380,371.6519494,12,4269.49,0,SOL,1,30,1,1,3
201510,381,304.181452,12,4298.81,1,SOL,1,16,0,0,3
201510,382,419.1650067,7,3558.22,0,SOL,1,26,0,0,3
201510,383,323.9559241,12,3780.65,0,CAS,1,8,3,0,3
201510,384,393.8480422,12,3080.56,0,CAS,1,30,2,0,3
201510,385,331.9666704,12,3715.64,0,SOL,1,8,0,0,3
201510,386,262.308239,12,3135.45,0,SOL,1,30,-,0,3
201510,387,326.2847561,12,4541.16,0,SOL,1,4,-,0,3
201510,388,304.9128806,12,4419.15,0,CAS,1,30,3,0,3
201510,389,408.5263149,12,3359.35,0,SOL,1,30,2,0,3
201510,390,347.4827591,12,4934.34,0,SOL,1,24,0,0,3
201510,391,282.4613613,12,3318.13,0,SOL,1,12,0,1,3
201510,392,295.180172,12,4423.01,0,SOL,1,46,2,0,3
201510,393,363.2716424,12,4500,0,SEP,1,30,3,0,3
201510,394,413.7798011,12,4727.31,0,CAS,1,8,2,0,3
